Timestamp | Device_ID | Usage (Liters/min) | Status
2026-06-04 08:33:57 | ICU_WATER_RESERVE | 31 | NORMAL
2026-06-04 08:33:58 | FACILITY_WATER_MAIN | 40 | HIGH_USAGE
2026-06-04 08:33:58 | ICU_WATER_RESERVE | 34 | NORMAL
2026-06-04 08:33:59 | FACILITY_WATER_MAIN | 43 | HIGH_USAGE
2026-06-04 08:33:59 | ICU_WATER_RESERVE | 8 | NORMAL
2026-06-04 08:34:00 | FACILITY_WATER_MAIN | 23 | NORMAL
2026-06-04 08:34:00 | ICU_WATER_RESERVE | 19 | NORMAL
2026-06-04 08:34:01 | FACILITY_WATER_MAIN | 29 | NORMAL
2026-06-04 08:34:01 | ICU_WATER_RESERVE | 11 | NORMAL
2026-06-04 08:34:02 | FACILITY_WATER_MAIN | 15 | NORMAL
2026-06-04 08:34:02 | ICU_WATER_RESERVE | 34 | NORMAL
2026-06-04 08:34:03 | FACILITY_WATER_MAIN | 27 | NORMAL
2026-06-04 08:34:03 | ICU_WATER_RESERVE | 28 | NORMAL
2026-06-04 08:34:04 | FACILITY_WATER_MAIN | 17 | NORMAL
2026-06-04 08:34:04 | ICU_WATER_RESERVE | 31 | NORMAL
2026-06-04 08:34:05 | FACILITY_WATER_MAIN | 33 | NORMAL
2026-06-04 08:34:05 | ICU_WATER_RESERVE | 32 | NORMAL
2026-06-04 08:34:06 | FACILITY_WATER_MAIN | 11 | NORMAL
2026-06-04 08:34:06 | ICU_WATER_RESERVE | 30 | NORMAL
2026-06-04 08:34:07 | FACILITY_WATER_MAIN | 28 | NORMAL
2026-06-04 08:34:07 | ICU_WATER_RESERVE | 18 | NORMAL
2026-06-04 08:34:08 | FACILITY_WATER_MAIN | 26 | NORMAL
2026-06-04 08:34:08 | ICU_WATER_RESERVE | 39 | HIGH_USAGE
2026-06-04 08:34:09 | FACILITY_WATER_MAIN | 8 | NORMAL
2026-06-04 08:34:09 | ICU_WATER_RESERVE | 34 | NORMAL
2026-06-04 08:34:10 | FACILITY_WATER_MAIN | 22 | NORMAL
2026-06-04 08:34:10 | ICU_WATER_RESERVE | 38 | HIGH_USAGE
2026-06-04 08:34:11 | FACILITY_WATER_MAIN | 38 | HIGH_USAGE
2026-06-04 08:34:11 | ICU_WATER_RESERVE | 37 | HIGH_USAGE
